asset,period,mean_delta,sd_delta,cv_delta,mean_z,sd_z,cv_z,n_delta,n_z
C,1900_1949,51.48854148110032,13.650505865739316,0.26511735374656026,NA,NA,NA,49,0
C,1950_1994,54.26229886605211,13.083514850915709,0.2411161179000673,1.3533464673090048,0.3569656873789073,0.2637651894778269,45,44
C,1995_plus,80.27342786468384,10.053612372383064,0.12524209616824067,NA,NA,NA,16,0
ME,1900_1949,164.90937813751577,97.26681066217495,0.5898197650170351,12.66620404337088,5.851746995558541,0.461996899427905,49,49
ME,1950_1994,138.35638361645323,47.61825807113256,0.344171022879134,16.99931665778606,5.539071523271381,0.32584083435697186,45,45
ME,1995_plus,206.51704834548343,43.91132508556864,0.21262808778919384,27.19545975713789,5.295562463833665,0.19472229964576196,16,14
NR,1900_1949,72.25820637517339,25.02461029498226,0.34632205185181936,13.612996365020905,3.294458405196607,0.24200832181677792,49,49
NR,1950_1994,75.33598765536478,18.897322649369645,0.25084057749157207,14.256888588064323,3.4135479396711528,0.23943148033919054,45,45
NR,1995_plus,120.76809228618998,17.264873976834387,0.14295890288571406,20.15740502603609,2.8997536287344996,0.14385550248105172,16,14
NRC,1900_1949,60.583598408569145,20.49122669269248,0.3382305975703505,14.23845167076238,4.05556189493923,0.2848316648970358,49,49
NRC,1950_1994,61.82148671389975,14.555530395698277,0.2354445221134686,13.249271095120767,2.995629590311683,0.22609769011480688,45,45
NRC,1995_plus,83.92744025374087,10.511301388638588,0.12524272582196466,16.018362469733574,2.4579212192334965,0.15344397555478578,16,14
RC,1900_1949,43.61456538424034,11.863422213978334,0.27200597115809055,NA,NA,NA,49,0
RC,1950_1994,45.95635922156098,13.88081743518275,0.30204345318700526,0.5665455394486695,0.16886968180914477,0.2980690342624166,45,44
RC,1995_plus,74.978212343742,9.390351910538321,0.12524107493371145,NA,NA,NA,16,0
T,1900_1949,57.76485429257757,15.256557855502903,0.2641148851207832,NA,NA,NA,49,0
T,1950_1994,62.742823855905705,15.750795245494736,0.25103739802447833,1.7138596243644233,0.4843833219565882,0.2826271854885545,45,44
T,1995_plus,105.95206800933374,13.833400152777477,0.13056281404114584,NA,NA,NA,16,0
